物件名,価格,所在地,ファイル名
北九州市門司区 田野浦２丁目 平屋建 ３ＬＤＫ300万円,300万円,北九州市門司区田野浦２丁目,fukuoka.txt
田川市 大字糒（糒駅） 平屋建 ４ＳＬＤＫ300万円,300万円,N/A,fukuoka.txt
築上郡築上町 大字有安（豊前松江駅） 平屋建 ５Ｋ300万円,300万円,N/A,fukuoka.txt
豊前市 大字小犬丸（三毛門駅） 平屋建 ４ＤＫ300万円,300万円,N/A,fukuoka.txt
行橋市 大字矢留（今川河童駅） 平屋建 ５ＤＫ300万円,300万円,N/A,fukuoka.txt
大川市 大字大野島 平屋建 ３ＬＤＫ330万円,330万円,N/A,fukuoka.txt
朝倉市 上秋月 2階建 ７ＬＤＫ350万円,350万円,N/A,fukuoka.txt
嘉麻市 大隈町 2階建 ６ＳＬＤＫ350万円,350万円,N/A,fukuoka.txt
北九州市八幡西区 永犬丸東町２丁目（永犬丸駅） 平屋建 ３ＳＤＫ350万円,350万円,北九州市八幡西区永犬丸東町２丁目,fukuoka.txt
鞍手郡鞍手町 大字中山 平屋建 ５ＤＫ350万円,350万円,N/A,fukuoka.txt
豊前市 大字求菩提（宇島駅） 平屋建 ４ＳＫ350万円,350万円,N/A,fukuoka.txt
豊前市 大字八屋（宇島駅） 2階建 ９ＤＫ350万円,350万円,N/A,fukuoka.txt
北九州市門司区 大字田野浦（門司港駅） 平屋建 ５ＤＫ380万円,380万円,北九州市門司区大字田野浦,fukuoka.txt
北九州市八幡東区 祝町１丁目（スペースワールド駅） 2階建 ４ＤＫ390万円,390万円,北九州市八幡東区祝町１丁目,fukuoka.txt
築上郡築上町 大字椎田（椎田駅） 平屋建 ５ＤＫ390万円,390万円,N/A,fukuoka.txt
朝倉市 下渕（甘木駅） 2階建 ７ＤＫ400万円,400万円,N/A,fukuoka.txt
大牟田市 新勝立町５丁目（大牟田駅） 平屋建 ４ＤＫ400万円,400万円,N/A,fukuoka.txt
鞍手郡鞍手町 大字新延（鞍手駅） 2階建 ７ＤＫ400万円,400万円,N/A,fukuoka.txt
豊前市 大字中村（豊前松江駅） 平屋建 ４ＤＫ400万円,400万円,N/A,fukuoka.txt
